apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Jun/26,Zwart,Benzine,Ja,Peugeot,81650,208,,55,14300,Autobedrijf,Handgeschakeld,955,Jun/22,0
,Wit,Stroom,Ja,Peugeot,85589,e-2008,1,100,17740,Autobedrijf,Automatisch,1523,Apr/21,5
Jan/27,Groen,Benzine,,Peugeot,80972,108,,53,12375,Autobedrijf,Handgeschakeld,830,Jan/21,0
Jul/25,Grijs,Benzine,,Peugeot,88478,207,,88,3990,Autobedrijf,Handgeschakeld,1327,Aug/07,0
,Blauw,Benzine,Ja,Peugeot,86087,207,1,88,4950,Autobedrijf,Handgeschakeld,1327,Jun/07,0
Apr/26,Zwart,Benzine,,Peugeot,98884,207,,110,3999,Autobedrijf,Handgeschakeld,1393,Jun/07,0
Nieuw,Grijs,Benzine,Ja,Peugeot,89678,208,,74,15950,Autobedrijf,Automatisch,1065,Aug/20,0
,Blauw,Elektro/Benzine,Ja,Peugeot,92842,3008,,,20500,Autobedrijf,Automatisch,1815,Aug/20,5
Nieuw,Zwart,Benzine,,Peugeot,91010,207,7,110,4949,Autobedrijf,Handgeschakeld,1393,Jul/08,5
Mar/26,Zwart,Benzine,Ja,Peugeot,97519,207,1,70,3400,Particulier,Handgeschakeld,,Jun/08,0
Feb/26,Grijs,Benzine,Ja,Peugeot,90785,206,2,100,2990,Autobedrijf,Handgeschakeld,1127,Apr/02,3
Jun/25,Grijs,Benzine,,Peugeot,97453,208,,74,16425,Autobedrijf,Automatisch,1065,Jun/21,5
Nieuw,Blauw,Benzine,Ja,Peugeot,88890,108,,53,8950,Autobedrijf,Handgeschakeld,815,Feb/20,0
Jul/26,Grijs,Benzine,,Peugeot,93400,208,,74,12890,Autobedrijf,Handgeschakeld,1065,Jul/20,0
Jul/25,Zwart,Benzine,Ja,Peugeot,81565,5008,,96,21750,Autobedrijf,Automatisch,1405,Jul/21,5
,Zwart,Benzine,Ja,Peugeot,92879,5008,,96,21700,Autobedrijf,Automatisch,1405,Jan/20,5
Nieuw,Wit,Benzine,Ja,Peugeot,91000,208,,55,11800,Autobedrijf,Handgeschakeld,955,Aug/20,0
Feb/27,Geel,Benzine,Ja,Peugeot,85772,208,2,74,14999,Autobedrijf,Handgeschakeld,1065,Feb/21,0
May/26,Zwart,Benzine,Ja,Peugeot,95500,108,,53,7850,Autobedrijf,Handgeschakeld,815,May/20,0
Nieuw,Wit,Benzine,,Peugeot,86000,208,,55,11700,Autobedrijf,Handgeschakeld,955,Aug/20,5
Oct/26,Zwart,Benzine,Ja,Peugeot,84094,308,2,96,22945,Autobedrijf,Automatisch,1320,Oct/22,0
Nov/26,Grijs,Benzine,,Peugeot,96788,308,,96,17950,Autobedrijf,Handgeschakeld,1285,Nov/22,5
Nieuw,Zwart,Benzine,Ja,Peugeot,94528,5008,,96,20945,Autobedrijf,Automatisch,1405,Jan/20,0
Nieuw,Blauw,Diesel,Ja,Peugeot,187846,308,1,96,8799,Autobedrijf,Handgeschakeld,1270,Mar/19,0
Nieuw,Wit,Benzine,Ja,Peugeot,98835,5008,2,96,16445,Autobedrijf,Handgeschakeld,1382,Aug/19,4
Jul/25,Zwart,Benzine,,Peugeot,36744,108,,53,12500,Autobedrijf,Automatisch,835,Oct/18,0
Nieuw,Grijs,Benzine,Ja,Peugeot,66563,208,,61,9945,Autobedrijf,Handgeschakeld,950,Jul/19,0
,Groen,Benzine,,Peugeot,80262,5008,1,96,24450,Autobedrijf,Automatisch,1405,Jan/20,0
Oct/25,Zwart,Benzine,Ja,Peugeot,131931,108,,50,5450,Autobedrijf,Handgeschakeld,830,Mar/16,0
Nieuw,Grijs,Diesel,Ja,Peugeot,94868,Expert,1,130,27950,Autobedrijf,Automatisch,1782,Nov/20,5
,,Diesel,,Peugeot,80434,Boxer,,120,14950,Autobedrijf,Handgeschakeld,1875,Mar/18,3
Dec/25,Blauw,Benzine,Ja,Peugeot,161430,208,,81,7890,Autobedrijf,Automatisch,1065,May/16,0
,Zilver,Diesel,Ja,Peugeot,82255,Partner,,,10400,Autobedrijf,Handgeschakeld,,Aug/17,0
Mar/26,Zwart,Diesel,Ja,Peugeot,94427,Boxer,1,121,15900,Autobedrijf,Handgeschakeld,1900,Sep/18,0
Oct/25,Wit,Diesel,Ja,Peugeot,85123,Partner,,75,10999,Autobedrijf,Handgeschakeld,1398,Oct/20,0
Aug/26,Grijs,Benzine,,Peugeot,93455,2008,,75,16995,Autobedrijf,Handgeschakeld,1163,Jun/20,0
Feb/26,Wit,Diesel,,Peugeot,91043,Partner,1,55,7950,Autobedrijf,Handgeschakeld,1284,Jan/19,0
,Zilver,Diesel,Ja,Peugeot,91909,Partner,,,9900,Autobedrijf,Handgeschakeld,,Aug/17,0
Mar/26,Grijs,Diesel,Ja,Peugeot,95111,Boxer,2,96,19650,Autobedrijf,Handgeschakeld,1977,Mar/18,0
Nieuw,Grijs,Diesel,Ja,Peugeot,88948,Partner,1,55,6950,Autobedrijf,Handgeschakeld,1267,Feb/17,4
Mar/27,Zwart,Benzine,Ja,Peugeot,93460,Partner,,72,12950,Autobedrijf,Handgeschakeld,1245,Mar/18,0
Mar/27,Wit,Benzine,Ja,Peugeot,85897,Partner,,,9995,Autobedrijf,Handgeschakeld,,Jul/18,0
,,Diesel,,Peugeot,98000,Partner,,73,8700,Particulier,Handgeschakeld,1395,Apr/19,0
,Blauw,Benzine,,Peugeot,87486,5008,,96,20750,Autobedrijf,Automatisch,1505,Apr/19,0
Nieuw,Wit,Benzine,Ja,Peugeot,82733,2008,,96,18490,Autobedrijf,Handgeschakeld,1167,Oct/20,0
Jul/26,Wit,Stroom,,Peugeot,97324,e-2008,,100,16880,Autobedrijf,Automatisch,1523,Oct/20,0
Mar/26,Grijs,Benzine,,Peugeot,81997,108,,53,9735,Autobedrijf,Handgeschakeld,815,Mar/20,5
Nov/26,Rood,Benzine,,Peugeot,88312,208,,74,14995,Autobedrijf,Handgeschakeld,1065,Nov/20,0
Dec/25,Wit,Benzine,,Peugeot,99877,3008,,96,19950,Autobedrijf,Automatisch,1295,Jun/20,1
Mar/26,Grijs,Diesel,,Peugeot,80226,Partner,,55,8215,Autobedrijf,Handgeschakeld,1294,Mar/19,5
Nieuw,Wit,Benzine,Ja,Peugeot,97511,3008,,133,20950,Autobedrijf,Automatisch,1405,Mar/19,0
Oct/26,Wit,Benzine,,Peugeot,89683,3008,,96,20440,Autobedrijf,Automatisch,1295,Oct/20,1
Nieuw,Blauw,Benzine,Ja,Peugeot,84649,308,,81,12400,Autobedrijf,Handgeschakeld,1180,Nov/19,5
Sep/25,Blauw,Benzine,,Peugeot,90812,108,2,54,7950,Autobedrijf,Handgeschakeld,815,Sep/19,0
Oct/25,Grijs,Benzine,,Peugeot,87854,5008,1,96,22450,Autobedrijf,Handgeschakeld,1385,Jan/20,5
Nieuw,Blauw,Benzine,Ja,Peugeot,99594,208,,60,11500,Autobedrijf,Automatisch,955,Mar/17,0
Mar/26,Grijs,Benzine,Ja,Peugeot,88377,3008,,121,20925,Autobedrijf,Automatisch,1275,Jan/17,5
Nieuw,Zwart,Benzine,Ja,Peugeot,85121,108,,53,8400,Autobedrijf,Handgeschakeld,815,Nov/18,5
Jul/25,Blauw,Benzine,Ja,Peugeot,90041,308,1,96,14695,Autobedrijf,Handgeschakeld,1180,Jul/19,5
Nieuw,Wit,Stroom,Ja,Peugeot,83203,e-2008,,,15900,Autobedrijf,Automatisch,1523,Jul/20,5
Jun/26,Wit,Benzine,Ja,Peugeot,90480,208,,74,16950,Autobedrijf,Automatisch,1065,Jun/20,1
Aug/25,Zwart,Benzine,Ja,Peugeot,96020,208,,60,6945,Autobedrijf,Handgeschakeld,950,Jul/14,0
Sep/25,Zwart,Benzine,Ja,Peugeot,99316,107,,50,4440,Autobedrijf,Handgeschakeld,780,Aug/11,0
Nieuw,Grijs,Benzine,Ja,Peugeot,85777,208,,60,7950,Autobedrijf,Handgeschakeld,950,Jul/15,0
Jul/26,Zilver,Benzine,Ja,Peugeot,95071,Partner,,72,12850,Autobedrijf,Handgeschakeld,1295,May/16,0
Feb/26,Beige,Benzine,Ja,Peugeot,85437,208,,60,10940,Autobedrijf,Automatisch,955,Oct/15,0
Oct/25,Zwart,Benzine,,Peugeot,93065,107,,50,4989,Autobedrijf,Handgeschakeld,780,Oct/13,0
Mar/26,Grijs,Benzine,,Peugeot,91881,208,,60,7950,Autobedrijf,Handgeschakeld,950,Jun/13,5
Jul/25,Zwart,Benzine,,Peugeot,84361,107,,50,5945,Autobedrijf,Handgeschakeld,780,Nov/13,5
Jan/26,Wit,Benzine,Ja,Peugeot,99998,308,,115,8950,Autobedrijf,Handgeschakeld,1490,Jan/13,5
Feb/26,Zwart,Benzine,Ja,Peugeot,84034,107,,50,4444,Autobedrijf,Handgeschakeld,780,Jan/11,0
Mar/26,Wit,Benzine,,Peugeot,84351,2008,,60,8400,Autobedrijf,Handgeschakeld,1030,Mar/15,5
Aug/24,Zwart,Benzine,,Peugeot,93269,308,,88,6900,Autobedrijf,Handgeschakeld,1455,Oct/11,0
Jul/25,Grijs,Benzine,Ja,Peugeot,83910,308,,115,10750,Autobedrijf,Handgeschakeld,1490,Mar/15,0
Jun/25,Grijs,Benzine,Ja,Peugeot,89268,208,,50,5699,Autobedrijf,Handgeschakeld,950,May/14,0
,Rood,Benzine,,Peugeot,88940,RCZ,,147,15960,Autobedrijf,Handgeschakeld,1272,Mar/15,0
Nieuw,Zwart,Benzine,Ja,Peugeot,86044,107,,50,5400,Autobedrijf,Handgeschakeld,780,Jul/12,1
,Grijs,Benzine,,Peugeot,90578,107,2,50,4350,Autobedrijf,Handgeschakeld,780,Jan/11,0
Jan/26,Zwart,Benzine,Ja,Peugeot,90430,107,,50,4995,Autobedrijf,Handgeschakeld,780,Jan/12,0
Jan/27,Zwart,Benzine,,Peugeot,88506,308,,96,14780,Autobedrijf,Handgeschakeld,1065,Jan/19,5
May/26,Rood,Benzine,Ja,Peugeot,88300,208,,60,5999,Autobedrijf,Handgeschakeld,950,May/14,0
Jun/25,Zwart,Benzine,,Peugeot,98286,207,,88,8500,Particulier,Handgeschakeld,,Feb/14,0
,Grijs,Benzine,,Peugeot,82000,107,4,50,3450,Particulier,Handgeschakeld,,Oct/10,0
Jun/25,Grijs,Benzine,Ja,Peugeot,89000,208,,70,4995,Particulier,Handgeschakeld,1045,Jun/12,0
Oct/25,Grijs,Benzine,Ja,Peugeot,97650,208,,60,5600,Autobedrijf,Handgeschakeld,950,Nov/12,3
Nieuw,Wit,Benzine,,Peugeot,94762,108,,51,9790,Autobedrijf,Handgeschakeld,835,Apr/15,5
Apr/25,Grijs,Benzine,,Peugeot,100000,107,,50,1500,Particulier,Handgeschakeld,775,Apr/10,0
Sep/25,Zwart,Benzine,,Peugeot,54965,107,,50,2499,Particulier,Handgeschakeld,775,Apr/06,0
Nov/25,Rood,Benzine,Ja,Peugeot,72024,1007,,55,2750,Autobedrijf,Handgeschakeld,1115,Sep/05,0
Jan/26,Grijs,Benzine,,Peugeot,88752,107,,50,3995,Autobedrijf,Handgeschakeld,780,Jan/12,0
Apr/26,Wit,Benzine,Ja,Peugeot,83218,108,,50,8400,Autobedrijf,Handgeschakeld,830,Jul/17,5
Jul/25,Wit,Benzine,,Peugeot,91583,308,,81,11899,Autobedrijf,Handgeschakeld,1065,Jul/19,0
Nieuw,Grijs,Benzine,Ja,Peugeot,96410,208,,81,11350,Autobedrijf,Handgeschakeld,1045,May/18,0
Apr/26,Rood,Benzine,,Peugeot,97048,208,4,60,9749,Autobedrijf,Handgeschakeld,1550,Oct/16,5
Jul/25,Wit,Benzine,Ja,Peugeot,98868,2008,,96,12950,Autobedrijf,Handgeschakeld,1130,Jul/18,5
,Grijs,Benzine,,Peugeot,121446,1007,,54,2450,Autobedrijf,Handgeschakeld,1115,Jul/05,0
Mar/26,Grijs,Benzine,Ja,Peugeot,57911,5008,1,96,25925,Autobedrijf,Automatisch,1405,Mar/20,5
Nieuw,Zwart,Benzine,Ja,Peugeot,60886,2008,,114,23945,Autobedrijf,Automatisch,1180,Jun/20,1
,Grijs,Benzine,,Peugeot,89000,2008,,60,10500,Autobedrijf,Automatisch,1030,Aug/16,0
,Wit,Benzine,,Peugeot,69588,3008,,96,19695,Autobedrijf,Automatisch,1395,Dec/20,0
,Grijs,Benzine,,Peugeot,107309,206,1,100,4499,Autobedrijf,Handgeschakeld,1127,May/05,0
Jan/26,Grijs,Benzine,Ja,Peugeot,72691,308,1,81,14925,Autobedrijf,Handgeschakeld,1180,Jan/20,5
Jun/25,Blauw,Benzine,Ja,Peugeot,99300,308,1,96,12990,Particulier,Automatisch,1125,Apr/18,0
Nieuw,Grijs,Benzine,Ja,Peugeot,94231,2008,,81,8945,Autobedrijf,Handgeschakeld,1065,Nov/16,0
Nieuw,Blauw,Benzine,Ja,Peugeot,57260,208,,61,11940,Autobedrijf,Handgeschakeld,955,Nov/19,0
Sep/26,Wit,Benzine,Ja,Peugeot,73256,2008,,61,10750,Autobedrijf,Handgeschakeld,1055,Dec/18,5
Sep/26,Grijs,Benzine,Ja,Peugeot,64865,508,1,133,23945,Autobedrijf,Automatisch,1405,Sep/20,0
Oct/25,Grijs,Diesel,,Peugeot,53738,Partner,,96,18880,Autobedrijf,Automatisch,1405,Oct/20,5
Apr/25,Rood,Benzine,,Peugeot,72000,108,,53,10500,Particulier,Handgeschakeld,815,Apr/19,0
Nov/26,Wit,Stroom,,Peugeot,67700,e-2008,,100,17900,Autobedrijf,Automatisch,1523,Nov/20,0
Nieuw,Wit,Diesel,Ja,Peugeot,60495,Expert,,75,13900,Autobedrijf,Handgeschakeld,1635,Feb/20,3
Nieuw,Zwart,Benzine,Ja,Peugeot,59309,3008,,96,17745,Autobedrijf,Handgeschakeld,1225,Aug/18,0
Nieuw,Wit,Benzine,,Peugeot,69258,3008,,96,19987,Autobedrijf,Automatisch,1295,Dec/19,5
Jun/26,Grijs,Benzine,,Peugeot,79299,208,,55,12440,Autobedrijf,Handgeschakeld,955,Jun/20,4
Oct/25,Grijs,Benzine,Ja,Peugeot,69000,508,,133,23850,Autobedrijf,Automatisch,1405,Oct/19,5
Apr/26,Zwart,Benzine,,Peugeot,77821,108,,51,6995,Autobedrijf,Handgeschakeld,830,Oct/17,0
,Wit,Benzine,Ja,Peugeot,74057,3008,,96,15445,Autobedrijf,Handgeschakeld,1229,Feb/17,0
Sep/25,Zwart,Benzine,,Peugeot,59236,208,,81,10900,Autobedrijf,Handgeschakeld,1045,Sep/17,5
Nieuw,Grijs,Benzine,Ja,Peugeot,69724,2008,,81,12950,Autobedrijf,Automatisch,1125,Jan/17,5
Jun/26,Groen,Benzine,Ja,Peugeot,65439,2008,,81,11945,Autobedrijf,Handgeschakeld,1065,Jun/18,0
Jul/25,Grijs,Benzine,Ja,Peugeot,69969,208,,60,8299,Autobedrijf,Handgeschakeld,950,Jul/17,0
Mar/26,Zwart,Benzine,Ja,Peugeot,79606,208,,50,5699,Autobedrijf,Handgeschakeld,935,Jul/15,0
Nieuw,Wit,Benzine,Ja,Peugeot,78466,208,,50,5699,Autobedrijf,Handgeschakeld,950,May/15,0
,Grijs,Benzine,,Peugeot,52698,208,,60,10950,Autobedrijf,Handgeschakeld,950,Mar/18,5
,Zwart,Benzine,Ja,Peugeot,74500,208,,61,8750,Particulier,Handgeschakeld,955,Jul/19,0
Mar/26,Wit,Benzine,,Peugeot,55000,208,3,81,13250,Particulier,Automatisch,1065,Mar/18,0
Nieuw,Grijs,Benzine,Ja,Peugeot,78149,2008,,96,18950,Autobedrijf,Automatisch,1230,Oct/20,0
Jan/26,Blauw,Benzine,,Peugeot,69100,108,,51,6499,Particulier,Handgeschakeld,830,Jan/16,0
Nov/25,Grijs,Benzine,Ja,Peugeot,134962,5008,,96,19925,Autobedrijf,Automatisch,1405,Mar/20,5
Jan/26,Wit,Benzine,Ja,Peugeot,101009,5008,3,96,20850,Autobedrijf,Handgeschakeld,1385,Jan/20,0
Oct/25,Wit,Benzine,Ja,Peugeot,69600,5008,2,96,22950,Autobedrijf,Handgeschakeld,1295,Oct/19,0
Jun/25,Rood,Benzine,Ja,Peugeot,143924,3008,1,96,17950,Autobedrijf,Automatisch,1295,Jun/19,0
Sep/25,Wit,Benzine,Ja,Peugeot,60738,208,2,61,10950,Autobedrijf,Handgeschakeld,955,Aug/19,0
Nieuw,Grijs,Benzine,,Peugeot,45836,2008,,96,19995,Autobedrijf,Automatisch,1180,Oct/20,5
,Grijs,Benzine,Ja,Peugeot,72823,108,1,51,7950,Autobedrijf,Handgeschakeld,830,Feb/17,0
Jun/25,Grijs,Benzine,Ja,Peugeot,109481,508,,133,21950,Autobedrijf,Automatisch,1405,Jun/19,0
Jan/26,Oranje,Benzine,Ja,Peugeot,96289,2008,,96,16999,Autobedrijf,Handgeschakeld,1167,Jan/20,0
Jun/25,,Diesel,,Peugeot,54197,Expert,,130,42950,Autobedrijf,Automatisch,1830,Jun/17,5
Nieuw,Zwart,Benzine,Ja,Peugeot,160998,3008,,96,15900,Autobedrijf,Handgeschakeld,1295,Mar/19,0
Nieuw,Wit,Diesel,,Peugeot,63902,Boxer,1,121,26900,Autobedrijf,Handgeschakeld,2670,May/20,0
May/26,Wit,Benzine,Ja,Peugeot,55273,Partner,,96,16800,Autobedrijf,Automatisch,1295,Sep/20,3
Jan/26,Zwart,Benzine,Ja,Peugeot,56144,208,1,55,12940,Autobedrijf,Handgeschakeld,955,Jan/20,0
Nov/26,Rood,Benzine,Ja,Peugeot,59731,208,,74,13945,Autobedrijf,Handgeschakeld,1065,Nov/20,0
Jun/26,Blauw,Benzine,,Peugeot,60018,3008,1,96,17949,Autobedrijf,Automatisch,1345,May/17,5
,Grijs,Benzine,Ja,Peugeot,57636,2008,,81,11940,Autobedrijf,Handgeschakeld,1065,Apr/17,1
Aug/26,Oranje,Benzine,Ja,Peugeot,67532,3008,,96,17950,Autobedrijf,Automatisch,1295,Mar/19,0
Jun/26,Grijs,Benzine,Ja,Peugeot,63570,2008,1,82,13450,Autobedrijf,Automatisch,1125,Jun/18,0
Apr/26,Wit,Benzine,,Peugeot,79808,108,,51,6995,Autobedrijf,Handgeschakeld,830,Jan/17,0
Nieuw,Grijs,Benzine,,Peugeot,67482,2008,,60,8950,Autobedrijf,Handgeschakeld,1020,Feb/16,5
Jan/26,Grijs,Benzine,Ja,Peugeot,73284,2008,,60,9499,Autobedrijf,Automatisch,1030,Jan/15,0
Nieuw,Wit,Benzine,Ja,Peugeot,57567,Rifter,,96,23950,Autobedrijf,Automatisch,1515,Dec/20,0
Nieuw,Zwart,Benzine,Ja,Peugeot,60365,2008,,96,18490,Autobedrijf,Handgeschakeld,1167,Jan/20,5
Nieuw,Grijs,Benzine,Ja,Peugeot,65610,3008,3,96,17900,Autobedrijf,Handgeschakeld,1295,Jul/19,0
Jun/26,Grijs,Benzine,Ja,Peugeot,79546,208,,60,8499,Autobedrijf,Handgeschakeld,950,Jun/18,0
Dec/25,Wit,Benzine,Ja,Peugeot,66121,308,,81,10945,Autobedrijf,Handgeschakeld,1055,Dec/16,0
Feb/26,Blauw,Benzine,Ja,Peugeot,64033,208,,60,8743,Autobedrijf,Handgeschakeld,950,Feb/18,0
Jan/27,Wit,Benzine,,Peugeot,64380,108,,53,8000,Particulier,Handgeschakeld,815,Jan/19,5
Nieuw,Grijs,Benzine,Ja,Peugeot,57375,208,,81,9950,Autobedrijf,Handgeschakeld,1045,Feb/16,5
,Zwart,Benzine,,Peugeot,65960,3008,,96,17750,Autobedrijf,Automatisch,1395,Sep/19,0
Jan/27,Grijs,Benzine,Ja,Peugeot,57650,108,4,54,8100,Autobedrijf,Handgeschakeld,815,Jan/19,5
May/25,Zwart,Benzine,,Peugeot,55813,108,3,54,10750,Autobedrijf,Automatisch,835,May/19,0
Oct/25,Wit,Benzine,Ja,Peugeot,75754,108,,53,7999,Autobedrijf,Handgeschakeld,815,Jan/20,0
Feb/26,Grijs,Benzine,Ja,Peugeot,55990,208,,60,8900,Autobedrijf,Handgeschakeld,950,Feb/15,3
May/26,Grijs,Benzine,,Peugeot,64745,2008,,81,11945,Autobedrijf,Handgeschakeld,1065,May/18,0
Nieuw,Blauw,Benzine,Ja,Peugeot,57754,2008,,96,17450,Autobedrijf,Automatisch,,Jul/20,5
Nieuw,Zwart,Benzine,Ja,Peugeot,53885,108,,51,6995,Autobedrijf,Handgeschakeld,815,Jan/15,5
Mar/26,Rood,Benzine,Ja,Peugeot,69750,2008,2,81,12900,Particulier,Handgeschakeld,1065,Mar/18,0
Sep/25,Bruin,Benzine,Ja,Peugeot,63486,3008,,96,18250,Autobedrijf,Automatisch,1295,Sep/19,5
Nieuw,Zwart,Benzine,Ja,Peugeot,51341,2008,,96,20900,Autobedrijf,Handgeschakeld,1167,Oct/20,5
Nieuw,Rood,Benzine,Ja,Peugeot,59551,2008,,96,19744,Autobedrijf,Automatisch,1230,Sep/20,0
Nieuw,Grijs,Benzine,Ja,Peugeot,59813,2008,1,81,12900,Autobedrijf,Handgeschakeld,1065,Oct/17,5
Mar/27,Grijs,Benzine,Ja,Peugeot,64008,2008,,96,16950,Autobedrijf,Handgeschakeld,1167,Feb/20,0
,,Benzine,,Peugeot,67600,2008,,96,15000,Particulier,Handgeschakeld,1235,Oct/18,5
Jan/26,Wit,Benzine,,Peugeot,73990,108,,51,6444,Autobedrijf,Handgeschakeld,815,Jan/15,0
May/27,Paars,Benzine,Ja,Peugeot,75681,108,,53,7950,Autobedrijf,Handgeschakeld,815,May/19,5
Nov/25,Grijs,Benzine,,Peugeot,80789,208,,60,7945,Autobedrijf,Handgeschakeld,950,Nov/16,5
,Grijs,Benzine,,Peugeot,56128,2008,,96,17450,Autobedrijf,Handgeschakeld,,Mar/20,0
Feb/26,Grijs,Benzine,Ja,Peugeot,85976,208,,81,7495,Autobedrijf,Automatisch,1065,Feb/18,0
Jul/25,Grijs,Benzine,,Peugeot,91971,3008,1,96,13449,Autobedrijf,Handgeschakeld,1325,Jul/17,5
Nieuw,Zwart,Benzine,Ja,Peugeot,87595,2008,1,60,9490,Autobedrijf,Handgeschakeld,1020,Mar/16,5
Mar/26,Blauw,Benzine,Ja,Peugeot,87299,308,4,82,9950,Autobedrijf,Handgeschakeld,1055,Mar/18,0
,Blauw,Benzine,Ja,Peugeot,90600,208,1,60,6950,Particulier,Handgeschakeld,950,Apr/17,0
Oct/25,Wit,Benzine,Ja,Peugeot,97626,108,,51,6445,Autobedrijf,Handgeschakeld,830,Dec/16,0
Nieuw,Zwart,Benzine,Ja,Peugeot,97701,2008,,81,8250,Autobedrijf,Handgeschakeld,1065,Feb/16,5
Nov/25,Wit,Benzine,Ja,Peugeot,98328,5008,2,96,20850,Autobedrijf,Automatisch,1405,Nov/19,0
Nieuw,Wit,Benzine,Ja,Peugeot,82427,3008,2,96,16150,Autobedrijf,Handgeschakeld,1295,Jan/19,3
Feb/26,Rood,Benzine,,Peugeot,85593,3008,2,96,14950,Autobedrijf,Handgeschakeld,1229,Nov/17,5
Oct/25,Wit,Benzine,Ja,Peugeot,67081,208,,81,9950,Autobedrijf,Handgeschakeld,1045,Feb/16,0
Nieuw,Grijs,Benzine,Ja,Peugeot,56091,5008,,96,23950,Autobedrijf,Automatisch,1405,Jun/20,0
Jan/26,Paars,Benzine,,Peugeot,68498,108,1,51,6950,Autobedrijf,Handgeschakeld,815,Jan/15,0
Jul/25,Zwart,Benzine,,Peugeot,70072,3008,,96,20725,Autobedrijf,Automatisch,1295,Jul/19,5
May/25,Wit,Benzine,,Peugeot,73181,2008,1,96,14450,Autobedrijf,Handgeschakeld,1130,May/19,0
Apr/26,Blauw,Benzine,Ja,Peugeot,72356,208,,60,8940,Autobedrijf,Handgeschakeld,950,May/16,0
Aug/26,Blauw,Stroom,Ja,Peugeot,78289,e-208,,100,14900,Autobedrijf,Automatisch,1430,Dec/20,3
,Grijs,Benzine,,Peugeot,54429,3008,,96,16950,Autobedrijf,Handgeschakeld,1229,May/17,5
Nieuw,Wit,Benzine,Ja,Peugeot,62214,2008,,96,19950,Autobedrijf,Automatisch,,Oct/20,5
Nieuw,Grijs,Benzine,Ja,Peugeot,63533,2008,,60,11990,Autobedrijf,Half/Semi-automaat,1030,Apr/17,5
Nieuw,Wit,Benzine,Ja,Peugeot,79038,2008,,96,18450,Autobedrijf,Automatisch,,Sep/20,5
Nieuw,Grijs,Benzine,Ja,Peugeot,66758,208,,55,13450,Autobedrijf,Handgeschakeld,955,Jan/20,0
Nieuw,Grijs,Benzine,Ja,Peugeot,65074,3008,,96,17450,Autobedrijf,Automatisch,,Feb/19,5
Feb/27,Grijs,Benzine,Ja,Peugeot,59025,208,,61,10999,Autobedrijf,Handgeschakeld,1050,Feb/19,0
Feb/26,Grijs,Benzine,Ja,Peugeot,58594,2008,1,96,18430,Autobedrijf,Handgeschakeld,1167,Feb/20,5
,Blauw,Benzine,,Peugeot,68328,5008,,96,19950,Autobedrijf,Automatisch,1405,Jun/19,5
Nieuw,Zwart,Benzine,,Peugeot,62479,108,,53,10450,Autobedrijf,Handgeschakeld,815,Jan/20,0
Nieuw,Zwart,Benzine,Ja,Peugeot,68539,2008,,96,19750,Autobedrijf,Automatisch,,Jun/20,5
,Zwart,Benzine,,Peugeot,76953,5008,,96,21950,Autobedrijf,Automatisch,1392,Jun/20,0
Nieuw,Grijs,Benzine,Ja,Peugeot,50771,208,,60,10937,Autobedrijf,Handgeschakeld,955,Oct/18,5
,Zwart,Benzine,Ja,Peugeot,67680,108,,53,8250,Autobedrijf,Handgeschakeld,815,Nov/19,3
,Zwart,Benzine,,Peugeot,72679,2008,,81,17425,Autobedrijf,Automatisch,1165,Apr/19,5
Feb/26,Rood,Benzine,Ja,Peugeot,75702,108,1,53,8400,Autobedrijf,Handgeschakeld,830,May/18,0
Sep/26,Wit,Benzine,Ja,Peugeot,50654,108,,53,7949,Autobedrijf,Handgeschakeld,815,Sep/18,0
Nieuw,Groen,Benzine,Ja,Peugeot,77000,5008,,96,19850,Autobedrijf,Handgeschakeld,1285,Jun/19,0
Jan/26,Rood,Benzine,Ja,Peugeot,67744,2008,,74,17900,Autobedrijf,Handgeschakeld,1163,Jul/20,5
,Grijs,Benzine,,Peugeot,69905,3008,,96,19940,Autobedrijf,Handgeschakeld,1295,Jan/19,0
,Zwart,Benzine,,Peugeot,60787,108,,53,9390,Autobedrijf,Handgeschakeld,815,Nov/18,5
May/25,Zwart,Benzine,Ja,Peugeot,65555,3008,,96,19940,Autobedrijf,Handgeschakeld,1295,May/19,1
Nieuw,Wit,Benzine,Ja,Peugeot,75802,2008,,96,18950,Autobedrijf,Automatisch,,Oct/20,5
Nieuw,Zwart,Benzine,Ja,Peugeot,69925,208,,55,12945,Autobedrijf,Handgeschakeld,955,Feb/20,0
,Grijs,Benzine,,Peugeot,70714,3008,1,96,19500,Autobedrijf,Automatisch,1295,Jul/18,5
May/25,Zwart,Benzine,,Peugeot,53524,108,,53,10950,Autobedrijf,Handgeschakeld,830,May/19,5
Nieuw,Grijs,Benzine,Ja,Peugeot,70801,2008,,96,18750,Autobedrijf,Handgeschakeld,1230,Jan/20,0
Nieuw,Oranje,Benzine,Ja,Peugeot,79964,2008,,114,18750,Autobedrijf,Automatisch,,Jun/20,5
Aug/26,Rood,Benzine,,Peugeot,61923,208,,74,17950,Autobedrijf,Automatisch,1065,Aug/20,5
,Grijs,Benzine,,Peugeot,66331,3008,,96,19950,Autobedrijf,Automatisch,1395,Sep/20,0
Aug/26,Grijs,Stroom,Ja,Peugeot,76197,e-208,1,100,16700,Autobedrijf,Automatisch,1430,Aug/20,5
