apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Mar/26,Zwart,Benzine,Ja,Alfa,127176,Romeo MiTo,,58,4499,Autobedrijf,Handgeschakeld,1055,Oct/09,0
,Zwart,Benzine,Ja,Alfa,9500,Romeo Brera,,147,10950,Particulier,Handgeschakeld,,Oct/09,0
Mar/26,Zwart,Benzine,Ja,Alfa,99651,Romeo MiTo,1,58,4950,Autobedrijf,Handgeschakeld,1055,Oct/09,0
,Zwart,Benzine,,Alfa,180379,Romeo Spider,,136,8400,Autobedrijf,Handgeschakeld,1505,Dec/06,0
Jun/25,Grijs,Benzine,Ja,Alfa,202194,Romeo MiTo,,58,2495,Autobedrijf,Handgeschakeld,1055,Mar/09,0
,Grijs,Benzine,Ja,Alfa,139781,Romeo MiTo,,70,4500,Autobedrijf,Handgeschakeld,1055,May/09,0
Feb/26,Grijs,Benzine,,Alfa,148523,Romeo 147,,77,1725,Autobedrijf,Handgeschakeld,1185,Nov/01,0
Mar/26,Blauw,Benzine,,Alfa,192805,Romeo 147,,88,1950,Particulier,Handgeschakeld,,Jul/05,0
May/25,Zilver,Super Plus 98,Ja,Alfa,149400,Romeo 156,1,103,1500,Particulier,Handgeschakeld,1290,Apr/04,0
,Blauw,Benzine,,Alfa,177000,Romeo 166,,177,7990,Particulier,Handgeschakeld,1515,Sep/04,0
Feb/25,Rood,Benzine,Ja,Alfa,244235,Romeo 156,,122,1400,Particulier,Half/Semi-automaat,1310,Sep/04,0
,,Diesel,,Alfa,20000,Romeo 166,,103,1209,Particulier,Handgeschakeld,1490,Jan/02,0
,Blauw,Benzine,,Alfa,282362,Romeo 156,,103,500,Particulier,Handgeschakeld,1240,Apr/02,0
Nieuw,Grijs,Benzine,Ja,Alfa,4665,Romeo GTV,,110,21950,Autobedrijf,Handgeschakeld,1345,May/02,5
Aug/25,Zwart,Benzine,,Alfa,175273,Romeo GTV,,122,2440,Autobedrijf,Handgeschakeld,1345,Aug/04,0
Nov/25,Bruin,Diesel,,Alfa,194565,Romeo 156,2,104,1944,Autobedrijf,Handgeschakeld,1330,Nov/03,0
Nieuw,Blauw,Benzine,Ja,Alfa,77907,Romeo Giulietta,,88,13950,Autobedrijf,Handgeschakeld,1255,Nov/17,0
May/25,Rood,Benzine,,Alfa,138478,Romeo 147,,77,999,Autobedrijf,Handgeschakeld,1165,Jun/01,0
Nieuw,Grijs,Benzine,Ja,Alfa,99857,Romeo 156,4,185,29950,Autobedrijf,Handgeschakeld,1385,Dec/04,0
,Zilver,Benzine,,Alfa,221000,Romeo 159,,136,3000,Particulier,Handgeschakeld,,May/05,0
,Zwart,Benzine,,Alfa,225921,Romeo 159,,88,850,Particulier,Handgeschakeld,1290,Jun/02,0
Nieuw,Zwart,Benzine,,Alfa,28011,Romeo Giulia,,207,47950,Autobedrijf,Automatisch,1545,Oct/22,0
May/27,Grijs,Diesel,,Alfa,30648,Romeo Stelvio,,118,37945,Autobedrijf,Automatisch,1655,May/23,0
Aug/26,Grijs,Benzine,,Alfa,57566,Romeo Giulia,1,149,35950,Autobedrijf,Automatisch,1404,Aug/20,0
Nieuw,Geel,Diesel,Ja,Alfa,148314,Romeo Giulia,,154,29745,Autobedrijf,Automatisch,1540,Feb/22,0
Nieuw,Zwart,Elektro/Benzine,Ja,Alfa,15,Romeo Junior,,,38900,Autobedrijf,Automatisch,1280,Mar/25,0
Nov/28,Wit,Benzine,,Alfa,10,Romeo Giulia,,206,73995,Autobedrijf,Automatisch,1520,Nov/24,5
Mar/27,Blauw,Elektro/Benzine,,Alfa,23611,Romeo Tonale,,,38745,Autobedrijf,Automatisch,1810,Mar/23,0
Feb/29,Rood,Benzine,,Alfa,50,Romeo Giulia,,206,79289,Autobedrijf,Automatisch,1520,Feb/25,5
Aug/28,Blauw,Elektro/Benzine,,Alfa,10,Romeo Tonale,,96,41725,Autobedrijf,Automatisch,1500,Aug/24,5
